result_id,image_id,defect_type,defect_coordinates,is_defective,confidence_score,created_at
3,6,scratch,"{""x1"": 68, ""y1"": 61, ""x2"": 117, ""y2"": 192}",True,0.75,2023-07-26 02:04:55
6,170,scratch,"{""x1"": 25, ""y1"": 56, ""x2"": 167, ""y2"": 129}",True,0.58,2023-04-18 15:53:50
9,175,,,False,,2023-07-19 20:14:13
12,63,stain,"{""x1"": 67, ""y1"": 24, ""x2"": 190, ""y2"": 177}",True,0.94,2023-04-02 18:06:00
15,180,stain,"{""x1"": 38, ""y1"": 66, ""x2"": 127, ""y2"": 166}",True,0.68,2023-01-03 13:30:03
18,91,stain,"{""x1"": 95, ""y1"": 14, ""x2"": 196, ""y2"": 169}",True,0.69,2023-02-20 07:35:01
21,87,scratch,"{""x1"": 59, ""y1"": 40, ""x2"": 121, ""y2"": 175}",True,0.51,2023-08-30 02:16:17
24,246,,,False,,2023-06-10 20:59:06
27,179,scratch,"{""x1"": 33, ""y1"": 31, ""x2"": 180, ""y2"": 183}",True,0.98,2023-02-01 11:03:28
30,31,stain,"{""x1"": 45, ""y1"": 74, ""x2"": 135, ""y2"": 156}",True,0.97,2023-09-28 12:01:56
33,225,dent,"{""x1"": 86, ""y1"": 32, ""x2"": 192, ""y2"": 155}",True,0.73,2023-05-19 09:16:34
36,45,dent,"{""x1"": 11, ""y1"": 73, ""x2"": 158, ""y2"": 199}",True,0.73,2023-11-10 18:18:00
39,251,dent,"{""x1"": 8, ""y1"": 59, ""x2"": 105, ""y2"": 157}",True,0.71,2023-05-06 10:26:03
42,232,,,False,,2023-05-12 07:19:33
45,219,dent,"{""x1"": 70, ""y1"": 5, ""x2"": 162, ""y2"": 182}",True,0.93,2023-09-13 10:36:44
48,245,scratch,"{""x1"": 78, ""y1"": 5, ""x2"": 124, ""y2"": 170}",True,0.83,2023-12-08 14:04:24
51,134,,,False,,2023-04-04 01:15:41
54,183,scratch,"{""x1"": 79, ""y1"": 15, ""x2"": 108, ""y2"": 165}",True,0.74,2023-08-03 03:21:51
57,265,dent,"{""x1"": 4, ""y1"": 5, ""x2"": 129, ""y2"": 169}",True,0.57,2023-01-25 03:29:33
60,277,stain,"{""x1"": 13, ""y1"": 77, ""x2"": 181, ""y2"": 155}",True,0.85,2023-02-14 02:01:08
63,216,stain,"{""x1"": 93, ""y1"": 24, ""x2"": 200, ""y2"": 106}",True,0.71,2023-02-13 18:42:22
66,265,,,False,,2023-12-28 16:38:32
69,115,,,False,,2023-03-18 18:40:08
72,122,stain,"{""x1"": 4, ""y1"": 71, ""x2"": 183, ""y2"": 112}",True,0.66,2023-11-22 16:27:10
75,200,scratch,"{""x1"": 53, ""y1"": 42, ""x2"": 115, ""y2"": 121}",True,0.63,2023-12-12 10:21:47
78,64,,,False,,2023-12-25 14:34:28
81,29,dent,"{""x1"": 21, ""y1"": 47, ""x2"": 109, ""y2"": 133}",True,0.81,2023-11-15 08:47:49
84,268,dent,"{""x1"": 84, ""y1"": 74, ""x2"": 170, ""y2"": 115}",True,0.79,2023-12-12 14:28:01
87,260,,,False,,2023-09-14 12:09:26
90,132,dent,"{""x1"": 87, ""y1"": 33, ""x2"": 194, ""y2"": 105}",True,0.62,2023-01-09 03:07:54
93,136,stain,"{""x1"": 7, ""y1"": 22, ""x2"": 182, ""y2"": 132}",True,0.5,2023-01-05 21:55:52
96,244,scratch,"{""x1"": 13, ""y1"": 13, ""x2"": 110, ""y2"": 150}",True,0.51,2023-04-27 21:47:59
99,158,,,False,,2023-04-02 15:56:50
102,214,scratch,"{""x1"": 91, ""y1"": 13, ""x2"": 163, ""y2"": 154}",True,1.0,2023-05-17 01:12:17
105,101,stain,"{""x1"": 39, ""y1"": 45, ""x2"": 170, ""y2"": 174}",True,0.71,2023-08-21 22:09:57
