factory_id,user_id,factory_name,location,created_at
2,7,Factory_mNuwb,Location_19,2023-10-21 04:00:16
5,2,Factory_QUc8R,Location_1,2023-10-16 00:16:54
8,11,Factory_PZTZV,Location_94,2023-08-29 23:12:43
11,19,Factory_LrEuL,Location_96,2023-12-23 08:07:58
14,7,Factory_a7Wla,Location_50,2023-04-20 09:17:18
17,38,Factory_nAJ73,Location_68,2023-04-07 18:58:16
20,3,Factory_wuo1M,Location_69,2023-06-26 00:53:55
23,25,Factory_NHCe2,Location_67,2023-11-20 04:23:28
26,44,Factory_PLorI,Location_38,2023-04-15 13:57:39
29,37,Factory_eletc,Location_14,2023-04-30 08:21:52
32,7,Factory_5HLAm,Location_90,2023-04-09 18:08:04
35,1,Factory_3QJtY,Location_12,2023-04-23 19:34:18
38,58,Factory_EZocZ,Location_87,2023-12-02 11:08:19
41,26,Factory_oW7J1,Location_18,2023-05-15 23:21:02
44,38,Factory_zvyJv,Location_66,2023-03-04 22:50:40
47,42,Factory_I2RER,Location_93,2023-01-17 20:04:59
50,17,Factory_NSUF7,Location_42,2023-12-02 16:18:02
53,24,Factory_9j2CX,Location_58,2023-08-22 02:25:45
56,8,Factory_F9FLv,Location_45,2023-07-13 09:57:23
59,20,Factory_5To1w,Location_31,2023-03-05 10:53:07
62,36,Factory_5CzMI,Location_100,2023-03-01 19:43:31
65,21,Factory_tCS2a,Location_57,2023-04-03 20:54:32
68,25,Factory_lQuIR,Location_68,2023-04-22 19:45:54
71,23,Factory_JzBE6,Location_94,2023-09-05 01:32:33
74,39,Factory_xk3wL,Location_51,2023-07-27 15:25:05
77,53,Factory_I1Sav,Location_64,2023-10-23 12:23:12
80,16,Factory_9fwOq,Location_77,2023-06-01 15:15:47
83,47,Factory_3mrBM,Location_21,2023-10-08 16:05:29
86,32,Factory_G3VOY,Location_35,2023-12-28 20:20:47
89,48,Factory_rP9lf,Location_31,2023-06-19 18:57:23
92,29,Factory_XjBbf,Location_59,2023-03-03 00:28:44
95,39,Factory_ZEuiM,Location_85,2023-07-15 11:14:23
98,14,Factory_1xIec,Location_3,2023-04-02 17:51:50
101,40,Factory_Esm9H,Location_87,2023-03-04 09:27:43
104,5,Factory_ypOL9,Location_32,2023-09-13 00:43:13
107,47,Factory_9Yp9Z,Location_69,2023-11-15 15:08:01
110,25,Factory_jbKrk,Location_38,2023-01-09 15:54:17
113,18,Factory_9RESM,Location_62,2023-05-11 09:08:52
116,36,Factory_0Dx4o,Location_57,2023-04-19 09:15:23
119,15,Factory_oFXcJ,Location_13,2023-04-11 10:21:02
122,4,Factory_3qHJ0,Location_46,2023-09-04 13:03:16
125,19,Factory_X4WX9,Location_83,2023-10-25 08:10:04
128,38,Factory_pJ0Op,Location_31,2023-05-09 18:46:08
131,8,Factory_Fp1sg,Location_60,2023-06-26 14:23:57
134,34,Factory_IPLuZ,Location_62,2023-06-29 09:25:18
137,17,Factory_2Eqan,Location_18,2023-08-27 20:28:19
140,1,Factory_KOvjj,Location_88,2023-08-01 18:13:05
143,12,Factory_DNZWA,Location_55,2023-04-01 09:35:29
146,28,Factory_5HVLa,Location_27,2023-10-09 22:25:20
149,8,Factory_2zeJj,Location_64,2023-02-05 04:13:45
