image_id,factory_id,image_path,inspection_time,created_at
2,132,/hdfs/images/image_KeaHom.jpg,2023-01-18 16:12:58,2023-08-28 08:47:40
5,135,/hdfs/images/image_0TVQwn.jpg,2023-04-26 08:49:00,2023-02-13 20:02:25
8,114,/hdfs/images/image_9sug3H.jpg,2023-08-20 07:01:37,2023-05-30 04:29:33
11,8,/hdfs/images/image_VAkIu8.jpg,2023-05-02 15:17:20,2023-05-25 04:49:28
14,68,/hdfs/images/image_X9Raxy.jpg,2023-03-30 02:32:03,2023-05-20 02:42:16
17,66,/hdfs/images/image_HtRCtb.jpg,2023-05-07 04:51:36,2023-04-17 19:05:29
20,143,/hdfs/images/image_duvU7X.jpg,2023-02-04 04:55:47,2023-03-05 05:25:24
23,58,/hdfs/images/image_kGxlFL.jpg,2023-02-18 04:45:53,2023-05-22 17:46:25
26,112,/hdfs/images/image_TG1KKH.jpg,2023-05-02 03:32:38,2023-03-31 21:28:01
29,32,/hdfs/images/image_HXmY2O.jpg,2023-10-14 07:13:33,2023-02-12 23:12:47
32,84,/hdfs/images/image_F7OMWp.jpg,2023-07-17 11:09:54,2023-02-06 09:39:03
35,108,/hdfs/images/image_iiI437.jpg,2023-07-24 03:03:55,2023-12-15 15:33:47
38,44,/hdfs/images/image_0JBf74.jpg,2023-08-19 10:00:39,2023-04-23 19:15:58
41,50,/hdfs/images/image_vXYvU7.jpg,2023-11-30 13:21:53,2023-05-11 14:52:18
44,19,/hdfs/images/image_yGv6dc.jpg,2023-07-23 02:26:57,2023-10-23 22:36:08
47,20,/hdfs/images/image_zE8sYt.jpg,2023-10-20 03:35:23,2023-03-25 10:27:30
50,88,/hdfs/images/image_gQxjWy.jpg,2023-07-06 11:24:13,2023-04-02 07:42:22
53,132,/hdfs/images/image_noKFg3.jpg,2023-11-17 00:20:41,2023-07-23 07:12:37
56,45,/hdfs/images/image_pArEOp.jpg,2023-07-13 18:37:52,2023-08-25 07:43:43
59,93,/hdfs/images/image_pN0ITE.jpg,2023-03-25 09:42:46,2023-08-27 19:42:59
62,148,/hdfs/images/image_zfeK9T.jpg,2023-07-09 10:08:12,2023-08-01 22:57:56
65,10,/hdfs/images/image_mpaxqQ.jpg,2023-03-29 19:54:07,2023-08-08 08:27:49
68,27,/hdfs/images/image_FuanqE.jpg,2023-08-07 11:56:44,2023-02-07 14:56:17
71,11,/hdfs/images/image_FrBzCo.jpg,2023-04-16 02:14:56,2023-03-01 04:19:19
74,113,/hdfs/images/image_xCQhWI.jpg,2023-06-13 17:31:12,2023-09-11 14:22:47
77,92,/hdfs/images/image_YYLJic.jpg,2023-09-20 14:28:45,2023-07-03 10:20:19
80,67,/hdfs/images/image_MkejKq.jpg,2023-08-28 14:25:47,2023-07-23 11:30:27
83,132,/hdfs/images/image_lNB7yG.jpg,2023-02-06 00:25:07,2023-09-03 16:35:53
86,28,/hdfs/images/image_nO9baR.jpg,2023-09-06 15:40:20,2023-01-31 00:59:09
89,99,/hdfs/images/image_QPa8EW.jpg,2023-12-09 13:57:09,2023-02-07 20:23:10
92,50,/hdfs/images/image_Tz80rz.jpg,2023-10-15 16:09:40,2023-06-01 22:57:35
95,118,/hdfs/images/image_P92XSS.jpg,2023-06-05 05:58:52,2023-07-20 11:47:53
98,74,/hdfs/images/image_szo2iE.jpg,2023-05-06 08:36:43,2023-08-15 22:52:57
